"year","month","day","hour","pm2.5","cbwd","PC1","PC2","PC3","PC4"
2010,1,1,0,104.04572982326,"NW",-2.13585854057005,0.164170386837048,-0.0821575980404583,0.895350045272679
2010,1,1,1,104.04572982326,"NW",-2.14099708851097,0.159742873207177,-0.0644978086982838,0.838301194381532
2010,1,1,2,104.04572982326,"NW",-2.04824728381565,0.162663706571761,-0.0583522775768395,0.771345211361396
2010,1,1,3,104.04572982326,"NW",-2.19976559110454,0.151223590520149,-0.0348308361206859,0.765454720363687
2010,1,1,4,104.04572982326,"NW",-2.0273389757847,0.15255153564861,-0.0257475718313527,0.655216353898176
2010,1,1,5,104.04572982326,"NW",-1.85491236046486,0.153879480777071,-0.0166643075420195,0.544977987432665
2010,1,1,6,104.04572982326,"NW",-1.82186636063898,0.156136812195967,-0.00121589587093636,0.46961860089805
2010,1,1,7,104.04572982326,"NW",-1.82935523851295,0.155469405006437,0.0087730299182195,0.436453753887126
2010,1,1,8,104.04572982326,"NW",-1.84245031546576,0.154302374557706,0.0262396990355702,0.378461591236738
2010,1,1,9,104.04572982326,"NW",-1.84854624856455,0.16107733282115,0.0442098634206918,0.304190048623808
2010,1,1,10,104.04572982326,"NW",-1.7800818360977,0.158485198066625,0.0621030832449704,0.211253033899507
2010,1,1,11,104.04572982326,"NW",-1.66175282656845,0.1596492645086,0.0730114847557475,0.11743857955898
2010,1,1,12,104.04572982326,"NW",-1.60579462486476,0.16332761827739,0.0893496321442489,0.0276864365803078
2010,1,1,13,104.04572982326,"NW",-1.48746561533551,0.164491684719365,0.100258033655026,-0.0661280177602184
2010,1,1,14,104.04572982326,"NW",-1.40032200971903,0.166912894824747,0.113881308104665,-0.157911316419818
2010,1,1,15,104.04572982326,"cv",-1.17457337588467,0.186343843645737,-0.127703756117279,0.620121952533387
2010,1,1,16,104.04572982326,"NW",-1.3177193489689,0.186937662075514,-0.116316243813607,0.638325869721361
2010,1,1,17,104.04572982326,"NW",-1.32844201310662,0.178663834034467,-0.111853178214144,0.6381154654159
2010,1,1,18,104.04572982326,"NE",-1.4710982521709,0.171983070941599,-0.110958086967399,0.70576360957734
2010,1,1,19,104.04572982326,"NW",-1.43991284825812,0.170725927278191,-0.113672959906261,0.703732453896413
2010,1,1,20,104.04572982326,"cv",-1.48228856744655,0.167637133271221,-0.116677067381915,0.737774740523562
2010,1,1,21,104.04572982326,"NW",-1.54015153082741,0.167137686724077,-0.109829565238549,0.737523589905624
